date,nhser21nm,nhser21cdh,nhser21cd,stp21nm,stp21cdh,stp21cd,ccg21nm,ccg21cdh,ccg21cd,registered_patients
2017-03-01,North East and Yorkshire,Y63,E40000009,Cumbria and North East,QHM,E54000050,NHS Northumberland CCG,00L,E38000130,323238
2017-03-01,North East and Yorkshire,Y63,E40000009,Cumbria and North East,QHM,E54000050,NHS South Tyneside CCG,00N,E38000163,156365
2017-03-01,North East and Yorkshire,Y63,E40000009,Cumbria and North East,QHM,E54000050,NHS Sunderland CCG,00P,E38000176,283951
2017-03-01,North West,Y62,E40000010,Healthier Lancashire and South Cumbria,QE1,E54000048,NHS Blackburn with Darwen CCG,00Q,E38000014,173403
2017-03-01,North West,Y62,E40000010,Healthier Lancashire and South Cumbria,QE1,E54000048,NHS Blackpool CCG,00R,E38000015,172823
2017-03-01,North West,Y62,E40000010,Greater Manchester Health and Social Care Partnership,QOP,E54000007,NHS Bolton CCG,00T,E38000016,305964
2017-03-01,North West,Y62,E40000010,Greater Manchester Health and Social Care Partnership,QOP,E54000007,NHS Bury CCG,00V,E38000024,202045
2017-03-01,North West,Y62,E40000010,Healthier Lancashire and South Cumbria,QE1,E54000048,NHS Chorley and South Ribble CCG,00X,E38000034,181199
2017-03-01,North West,Y62,E40000010,Greater Manchester Health and Social Care Partnership,QOP,E54000007,NHS Oldham CCG,00Y,E38000135,251660
2017-03-01,North West,Y62,E40000010,Healthier Lancashire and South Cumbria,QE1,E54000048,NHS East Lancashire CCG,01A,E38000050,377854
2017-03-01,North West,Y62,E40000010,Greater Manchester Health and Social Care Partnership,QOP,E54000007,"NHS Heywood, Middleton and Rochdale CCG",01D,E38000080,230092
2017-03-01,North West,Y62,E40000010,Healthier Lancashire and South Cumbria,QE1,E54000048,NHS Greater Preston CCG,01E,E38000227,205861
2017-03-01,North West,Y62,E40000010,Cheshire and Merseyside,QYG,E54000008,NHS Halton CCG,01F,E38000068,130406
2017-03-01,North West,Y62,E40000010,Greater Manchester Health and Social Care Partnership,QOP,E54000007,NHS Salford CCG,01G,E38000143,266783
2017-03-01,North East and Yorkshire,Y63,E40000009,Cumbria and North East,QHM,E54000050,NHS North Cumbria CCG,01H,E38000215,323008
2017-03-01,North West,Y62,E40000010,Cheshire and Merseyside,QYG,E54000008,NHS Knowsley CCG,01J,E38000091,163244
2017-03-01,North West,Y62,E40000010,Healthier Lancashire and South Cumbria,QE1,E54000048,NHS Morecambe Bay CCG,01K,E38000228,349833
2017-03-01,North West,Y62,E40000010,Cheshire and Merseyside,QYG,E54000008,NHS South Sefton CCG,01T,E38000161,154779
2017-03-01,North West,Y62,E40000010,Cheshire and Merseyside,QYG,E54000008,NHS Southport and Formby CCG,01V,E38000170,123979
2017-03-01,North West,Y62,E40000010,Greater Manchester Health and Social Care Partnership,QOP,E54000007,NHS Stockport CCG,01W,E38000174,309069
2017-03-01,North West,Y62,E40000010,Cheshire and Merseyside,QYG,E54000008,NHS St Helens CCG,01X,E38000172,196305
2017-03-01,North West,Y62,E40000010,Greater Manchester Health and Social Care Partnership,QOP,E54000007,NHS Tameside and Glossop CCG,01Y,E38000182,245804
2017-03-01,North West,Y62,E40000010,Greater Manchester Health and Social Care Partnership,QOP,E54000007,NHS Trafford CCG,02A,E38000187,239819
2017-03-01,North West,Y62,E40000010,Cheshire and Merseyside,QYG,E54000008,NHS Warrington CCG,02E,E38000194,216335
2017-03-01,North West,Y62,E40000010,Healthier Lancashire and South Cumbria,QE1,E54000048,NHS West Lancashire CCG,02G,E38000200,113115
2017-03-01,North West,Y62,E40000010,Greater Manchester Health and Social Care Partnership,QOP,E54000007,NHS Wigan Borough CCG,02H,E38000205,325147
2017-03-01,North West,Y62,E40000010,Healthier Lancashire and South Cumbria,QE1,E54000048,NHS Fylde and Wyre CCG,02M,E38000226,169527
2017-03-01,North East and Yorkshire,Y63,E40000009,South Yorkshire and Bassetlaw,QF7,E54000009,NHS Barnsley CCG,02P,E38000006,257418
2017-03-01,North East and Yorkshire,Y63,E40000009,South Yorkshire and Bassetlaw,QF7,E54000009,NHS Bassetlaw CCG,02Q,E38000008,115648
2017-03-01,North East and Yorkshire,Y63,E40000009,West Yorkshire and Harrogate (Health and Care Partnership),QWO,E54000054,NHS Calderdale CCG,02T,E38000025,219458
2017-03-01,North East and Yorkshire,Y63,E40000009,South Yorkshire and Bassetlaw,QF7,E54000009,NHS Doncaster CCG,02X,E38000044,317090
2017-03-01,North East and Yorkshire,Y63,E40000009,"Humber, Coast and Vale",QOQ,E54000051,NHS East Riding of Yorkshire CCG,02Y,E38000052,301587
2017-03-01,North East and Yorkshire,Y63,E40000009,"Humber, Coast and Vale",QOQ,E54000051,NHS Hull CCG,03F,E38000085,295374
2017-03-01,North East and Yorkshire,Y63,E40000009,"Humber, Coast and Vale",QOQ,E54000051,NHS North East Lincolnshire CCG,03H,E38000119,169001
2017-03-01,North East and Yorkshire,Y63,E40000009,"Humber, Coast and Vale",QOQ,E54000051,NHS North Lincolnshire CCG,03K,E38000122,172557
2017-03-01,North East and Yorkshire,Y63,E40000009,South Yorkshire and Bassetlaw,QF7,E54000009,NHS Rotherham CCG,03L,E38000141,260737
2017-03-01,North East and Yorkshire,Y63,E40000009,South Yorkshire and Bassetlaw,QF7,E54000009,NHS Sheffield CCG,03N,E38000146,594647
2017-03-01,North East and Yorkshire,Y63,E40000009,"Humber, Coast and Vale",QOQ,E54000051,NHS Vale of York CCG,03Q,E38000188,351348
2017-03-01,North East and Yorkshire,Y63,E40000009,West Yorkshire and Harrogate (Health and Care Partnership),QWO,E54000054,NHS Wakefield CCG,03R,E38000190,368260
